Equipment state (expert assessment),Substation name,Dispatcher name,Transformer,Winding arrangement & Switching devices,Oil year,Breakdown voltage. kV,Moisture content. g/t,Acid number. mgKOH/g,Oil tangent at 90С. %,Flash point in closed cup. С,Н2. % vol.,СН4. % vol.,С2Н4. % vol.,С2Н6. % vol.,С2Н2. % vol.,СО2. % vol.,СО. % vol.,Winding year,Winding temperature during  last tests. C,R60 insulation resistance of HV winding. measured during commissioning tests. Mohm,R60 insulation resistance of HV winding. measured during last tests. MOhm,Tangent of HV winding insulation. measured during last tests. %,R60 insulation resistance of MV (LV1) winding. measured during commissioning tests. MOhm,Tangent of MV (LV1) winding insulation. measured during commissioning tests. %,R60 insulation resistance of MV (LV1) winding. measured during last tests. MOhm,Tangent of MV (LV1) winding insulation. measured during last tests. %,R60 insulation resistance of LV (LV2) winding. measured during commissioning tests. MOhm,Tangent of MV (LV2) winding insulation. measured during commissioning tests. %,R60 insulation resistance of LV (LV2) winding. measured during last tests. MOhm,Tangent of MV (LV2) winding insulation. measured during last tests. %,On-load tap-changer year,Breakdown voltage of oil from the tank. kV
satisfactory,Zaraisk,Т-2,TDTN-16000/110,3.00,1968.0,73.6,18.0,1.61,0.017,151.00,0.00,0.0002,0.0031,0.0001,0.00006,0.2,0.15,1968.0,25.0,-1.00,1200.00,0.35,-1.00,-1.0,1000.00,0.21,-1.00,-1.0,1000.00,0.27,1968.0,64.4
satisfactory,Kolomna,Т-1,TDTNG-31500/110,3.00,1958.0,64.8,43696.00,0.63,0.03,147.00,0.001,0.0011,0.0043,0.003,0.00,0.52,0.037000000000000005,1958.0,18.0,-1.00,800.00,0.61,-1.00,-1.0,500.00,1.0,-1.00,-1.0,500.00,1.00,1958.0,71.2
satisfactory,Shifernaia,Т-1,TDTN-25000/110,3.00,1983.0,72.0,23.0,0.04,0.0075,151.00,0.001,0.0001,0.0004,0.00,0.00004,0.09,0.006999999999999999,1983.0,8.0,-1.00,2500.00,0.35,-1.00,-1.0,2000.00,0.5,-1.00,-1.0,2000.00,0.6,1983.0,50.0
good,№817Sportivnaia,Т-1,TDTN-25000/110,3.00,1979.0,60.0,21.0,43556.00,0.02,139.00,0.001,0.0002,0.0089,0.0001,0.00029,0.23,0.034,1979.0,19.0,3000.00,3000.00,0.2,2500.00,0.2,2000.00,0.2,2600.00,0.1,2000.00,0.2,1979.0,59.2
satisfactory,№86Roshal,Т-2,TDTG-20000/110,3.00,1954.0,60.0,10.0,0.45,0.05,145.00,0.001,0.001,0.0037,0.0016,0.00001,0.61,0.028999999999999998,1954.0,22.0,4500.00,5000.00,0.55,2500.00,0.4,3000.00,0.82,2600.00,0.4,1500.00,0.79,1954.0,60.0
good,№155Radovitcy,Т-2,TDTNG-10000/110,3.00,1957.0,60.0,17.0,0.25,0.02,145.00,0.001,0.0002,0.0005,0.0002,0.00001,0.12,0.008,1957.0,21.0,3000.00,3000.00,0.2,5000.00,0.2,2500.00,0.3,5000.00,0.2,2500.00,0.3,1957.0,60.0
satisfactory,B.Ignatovo,Т-1,TDTN-10000/110-76U1,3.00,1980.0,41.3,-1.0,2.213,0.01,152.00,0.00,0.000499,0.000019,0.00,0.000165,0.07036,0.00247,1980.0,30.0,-1.00,3700.00,0.31,-1.00,-1.0,3358.00,0.39,-1.00,-1.0,2610.00,0.38,1980.0,43.1
satisfactory,B.Ignatovo,Т-2,TDTN-10000/110-U1,3.00,1991.0,73.8,-1.0,43525.00,0.0087,141.00,0.000424,0.000136,0.00,0.00174,0.000469,0.042010000000000006,0.0052,1991.0,32.0,-1.00,1500.00,0.23,-1.00,-1.0,1700.00,0.21,-1.00,-1.0,1300.00,0.26,1991.0,74.0
satisfactory,Ichalki,Т-1,TDTNG-10000/110,3.00,1965.0,68.8,-1.0,43800.00,0.041,146.00,0.00,0.000973,0.000416,0.000105,0.00,0.12067,0.0034460000000000003,1965.0,20.0,-1.00,1500.00,0.813,-1.00,-1.0,1500.00,0.505,-1.00,-1.0,1000.00,0.44,1965.0,62.5
satisfactory,Ichalki,Т-2,TDTN-10000/110-76U1,3.00,1977.0,70.6,-1.0,43525.00,0.01,147.00,0.00,0.000367,0.000713,0.000035,0.00,0.099476,0.000904,1977.0,25.0,-1.00,900.00,0.41,-1.00,-1.0,2660.00,0.39,-1.00,-1.0,3100.00,0.46,1977.0,44.6
satisfactory,Romodanovo,Т-1,TDTN-10000/110-76U1,3.00,1976.0,69.8,-1.0,4.125,0.035,144.00,0.00,0.0009539999999999999,0.000055,0.000015,0.000086,0.13255,0.014075999999999998,1976.0,8.0,-1.00,670.00,0.39,-1.00,-1.0,620.00,0.49,-1.00,-1.0,550.00,0.47,1976.0,73.1
satisfactory,Zarechnaia,Т1,TMTN-6300/110,3.00,1978.0,55.0,43724.00,0.40,0.01,140.00,-1.00,0.00011,0.00004,0.00064,-1.00,0.08,0.01,1978.0,22.0,-1.00,1720.00,0.3,-1.00,-1.0,1640.00,0.3,-1.00,-1.0,1920.00,0.43,1978.0,42.0
satisfactory,Kolpakskaia,Т1,TDTN-16000/110,3.00,1973.0,50.0,43473.00,0.30,0.06,144.00,0.00604,0.00027,0.00025,0.00006,-1.00,0.14,0.01,1973.0,38.0,-1.00,17250.00,0.3,-1.00,-1.0,3160.00,0.3,-1.00,-1.0,3440.00,0.30,1973.0,45.0
good,Mednogorskaia-RN,Т2,TDTN-40000/110,3.00,2003.0,71.0,43649.00,0.10,0.01,144.00,0.00095,0.00018999999999999998,0.00066,0.00024,-1.00,0.18,0.01,2003.0,30.0,-1.00,2840.00,0.2,-1.00,-1.0,1840.00,0.2,-1.00,-1.0,2010.00,0.20,2003.0,70.0
satisfactory,Tverdilovskaia,Т-2,TDTN-10000/110,3.00,1968.0,54.0,43512.00,0.71,0.05,150.00,0.00146,0.00015,0.00057,0.00002,0.00,0.16,0.02,1968.0,25.0,5000.00,3000.00,0.3,3000.00,43586.00,2000.00,0.28,3000.00,43586.00,2000.00,0.32,1968.0,0.0
good,Novo-Teplovskaia,Т-2,TMTN-6300/110,3.00,2004.0,59.0,-1.0,-1.00,0.01,144.00,0.00103,0.00028,0.00017,0.00005,0.00,0.16,0.01,2004.0,20.0,10000.00,10000.00,0.4,10000.00,0.3,10000.00,0.5,10000.00,0.4,10000.00,0.53,2004.0,0.0
satisfactory,110/35/10kVBolshaiaKandarat,Т-1,TMTN-6300/110-81U1,3.00,1984.0,67.4,43564.00,-1.00,0.01,150.00,0.00014,0.00015,0.00011,0.00003,0.00,0.11,0.01,1984.0,20.0,5000.00,6079.00,0.26,4000.00,0.6,5978.00,0.3,5000.00,0.6,4630.00,0.26,1984.0,-1.0
satisfactory,110/35/10kVBolshoeNagatkino,Т-1,TDTN-16000/110U1,3.00,1989.0,61.4,1.65,-1.00,0.01,145.00,0.00023,0.00016,0.00109,0.00004,0.00,0.12,0.01,1989.0,40.0,1200.00,12000.00,0.21,1000.00,0.38,2100.00,0.22,1000.00,0.39,2100.00,0.23,1989.0,-1.0
satisfactory,110/35/10kVIsheevka,Т-1,TDTN-25000/110-76U1,3.00,1979.0,63.8,1.66,-1.00,0.07,158.00,0.00206,0.00016999999999999999,0.00246,0.00005,0.00,0.19,0.02,1979.0,10.0,3000.00,1100.00,0.29,3000.00,0.1,1100.00,0.24,3000.00,0.13,1250.00,0.46,1979.0,-1.0
satisfactory,110/35/10kVIgnatovka,Т-2,TMTN-6300/110-71U1,3.00,1980.0,62.7,4.0,-1.00,0.03,148.00,0.00011,0.00013000000000000002,0.00216,0.00003,0.00,0.1,0.01,1980.0,25.0,150.00,454.00,0.44,300.00,0.5,532.50,0.54,600.00,0.6,698.10,0.45,1980.0,-1.0
satisfactory,110/35/10kVIgnatovka,Т-1,TMTN-6300/110-71U1,3.00,1976.0,60.8,6.51,-1.00,0.01,149.00,0.00009,0.0,0.00001,0.00,0.00,0.0,0.0,1976.0,30.0,-1.00,5370.00,0.24,-1.00,-1.0,5527.00,0.24,-1.00,-1.0,4762.00,0.25,1976.0,-1.0
satisfactory,ATD,С-2Т,TDTN-40000/110,3.00,1968.0,69.0,43574.00,0.78,0.07,143.00,-1.00,-1.0,-1.00,-1.00,-1.00,-1.0,-1.0,1968.0,31.0,1000.00,1900.00,1.15,750.00,0.6,3200.00,1.14,850.00,0.5,2900.00,1.15,1968.0,72.8
satisfactory,Sernovodskaia-110,С-1-Т,TDTN16000,3.00,1965.0,76.3,43515.00,0.14,0.01,141.00,-1.00,-1.0,-1.00,-1.00,-1.00,-1.0,-1.0,1965.0,30.0,600.00,600.00,0.99,430.00,0.2,2500.00,0.91,450.00,0.2,2300.00,0.95,1965.0,84.0
satisfactory,ASK-2,С1Т,TDTN-40000,3.00,1992.0,70.8,43538.00,0.50,0.006,142.00,0.0001,0.0002,0.0004,0.00,0.00,0.12,0.01,1992.0,20.0,1600.00,1500.00,0.24,700.00,0.23,600.00,0.41,900.00,0.3,1500.00,0.33,1992.0,35.3
satisfactory,Dubovyi-Umet,С1Т,TDTN-25000,3.00,1984.0,84.7,43716.00,1.65,0.01,143.00,0.0003,0.0003,0.005,0.0001,0.00,0.18,0.02,1984.0,12.0,1300.00,1500.00,0.34,1200.00,0.2,1000.00,0.36,1400.00,0.3,1500.00,0.34,1984.0,80.6
satisfactory,Shigony,Т-1,TDTN-16000/110-76-U1,3.00,1983.0,53.8,-1.0,0.32,0.05,141.00,0.0002,0.0003,0.0019,0.0003,-1.00,0.26,0.02,1983.0,40.0,7500.00,2400.00,0.2,7500.00,0.2,2300.00,0.25,7000.00,0.3,2700.00,0.23,1983.0,0.0
satisfactory,Sovhoznaia,Т-1,TDTN-25000/110-U1,3.00,1980.0,72.5,-1.0,0.26,0.01,153.00,0.001,0.0002,0.0031,0.0001,-1.00,0.17,0.02,1980.0,25.0,1180.00,1700.00,0.17,1700.00,0.2,1450.00,0.15,1750.00,0.3,1600.00,0.14,1980.0,0.0
good,Alatyrskaia,Т-1,TDTN-40000/110/35/6-u1,3.00,1991.0,72.0,43492.00,0.52,0.0156,142.00,0.0002,0.0001,0.0014,0.00,0.00,0.366,0.019,1991.0,46.0,1500.00,9500.00,0.4,1250.00,0.2,7000.00,0.3,1400.00,0.3,6000.00,0.4,1991.0,-1.0
good,Alatyrskaia,Т-1,TDTN-40000/110/35/6-u1,3.00,1994.0,78.0,7.0,0.48,0.02,145.00,0.0001,0.0001,0.0006,0.0001,0.00067,0.1,0.004,1994.0,48.0,1800.00,50000.00,0.35,1200.00,0.25,18750.00,0.45,1000.00,0.44,11250.00,0.55,1994.0,-1.0
satisfactory,Kr.Chetaiskaia,Т-2,TMN-6300/110/35/10,3.00,1976.0,70.0,27.0,43497.00,0.03,142.00,0.00,0.0008,0.0261,0.0045,0.00017,0.138,0.005,1976.0,40.0,755.00,800.00,0.37,755.00,0.3,6700.00,0.3,755.00,0.6,8200.00,0.3,1976.0,-1.0
satisfactory,Komsomolskaia,Т-2,TDTN-160000/110-U1,3.00,1994.0,57.3,12.0,0.7,0.018,145.00,-1.00,0.0001,0.0003,-1.00,-1.00,0.126,0.006,1994.0,-1.0,2500.00,2900.00,0.72,2500.00,0.54,2900.00,0.72,2500.00,0.54,2900.00,0.5,1994.0,-1.0
satisfactory,Lesnaia,Т-1,TDTN-100000/110/35/10,3.00,1983.0,66.8,16.0,0.3,0.0076,145.00,-1.00,0.0001,0.0011,0.0002,0.0001,0.14300000000000002,0.006999999999999999,1983.0,-1.0,2500.00,2900.00,0.72,2500.00,0.54,2900.00,0.72,2500.00,0.54,2900.00,0.6,1983.0,-1.0
satisfactory,Lesnaia,Т-2,TDTN-100000/110-79-U1,3.00,1983.0,62.0,43538.00,0.4,0.0057,140.00,0.0017,0.0001,0.0005,0.0001,-1.00,0.155,0.006,1983.0,-1.0,2500.00,2900.00,0.72,2500.00,0.54,2900.00,0.72,2500.00,0.54,2900.00,0.7,1983.0,-1.0
satisfactory,Agregatnaia,Т-1,TDTN-40/110/35/6,3.00,1994.0,61.8,9.0,0.41,0.01,146.00,0.00054,0.000199,0.002156,0.000017,0.00,0.27,0.03,1994.0,10.0,10000.00,10000.00,0.21,10000.00,0.2,10000.00,0.28,10000.00,0.25,10000.00,0.31,1994.0,-1.0
satisfactory,Agregatnaia,Т-2,TDTN-40/110/35/6,3.00,1996.0,63.8,43594.00,0.65,0.01,143.00,0.000332,0.00018,0.000402,0.000018,0.00,0.27,0.02,1996.0,23.0,1300.00,10000.00,0.52,1100.00,0.5,10000.00,0.59,1200.00,0.5,8000.00,0.58,1996.0,-1.0
satisfactory,Zapadnaia,Т-1,TDTN-40000/110/35/6,3.00,1968.0,64.5,12.0,0.69,0.05,143.00,0.000457,5.5e-05,0.000823,0.00,0.00,0.23,0.01,1968.0,20.0,2600.00,1000.00,0.46,2000.00,0.27,950.00,0.51,1950.00,0.27,750.00,0.32,1968.0,-1.0
