,Equipment state (expert assessment),Substation name,Dispatcher name,Transformer,Winding arrangement & Switching devices,Oil year,Breakdown voltage. kV,Moisture content. g/t,Acid number. mgKOH/g,Oil tangent at 90С. %,Flash point in closed cup. С,Н2. % vol.,СН4. % vol.,С2Н4. % vol.,С2Н6. % vol.,С2Н2. % vol.,СО2. % vol.,СО. % vol.,Winding year,Winding temperature during  last tests. C,R60 insulation resistance of HV winding. measured during commissioning tests. Mohm,R60 insulation resistance of HV winding. measured during last tests. MOhm,Tangent of HV winding insulation. measured during last tests. %,R60 insulation resistance of MV (LV1) winding. measured during commissioning tests. MOhm,Tangent of MV (LV1) winding insulation. measured during commissioning tests. %,R60 insulation resistance of MV (LV1) winding. measured during last tests. MOhm,Tangent of MV (LV1) winding insulation. measured during last tests. %,R60 insulation resistance of LV (LV2) winding. measured during commissioning tests. MOhm,Tangent of MV (LV2) winding insulation. measured during commissioning tests. %,R60 insulation resistance of LV (LV2) winding. measured during last tests. MOhm,Tangent of MV (LV2) winding insulation. measured during last tests. %,On-load tap-changer year,Breakdown voltage of oil from the tank. kV
0,satisfactory,Zaraisk,Т-2,TDTN-16000/110,3.0,1968.0,73.6,18.0,1.61,0.017,151.0,0.0,0.0002,0.0031,0.0001,5.9999999999999995e-05,0.2,0.15,1968.0,25.0,-1.0,1200.0,0.35,-1.0,0.045527075098814325,1000.0,0.21,-1.0,0.05197233201581026,1000.0,0.27,1968.0,64.4
1,satisfactory,Kolomna,Т-1,TDTNG-31500/110,3.0,1958.0,64.8,43696.0,0.63,0.03,147.0,0.001,0.0011,0.0043,0.003,0.0,0.52,0.037000000000000005,1958.0,18.0,-1.0,800.0,0.61,-1.0,0.045527075098814325,500.0,1.0,-1.0,0.05197233201581026,500.0,1.0,1958.0,71.2
2,satisfactory,Shifernaia,Т-1,TDTN-25000/110,3.0,1983.0,72.0,23.0,0.04,0.0075,151.0,0.001,0.0001,0.0004,0.0,4e-05,0.09,0.006999999999999999,1983.0,8.0,-1.0,2500.0,0.35,-1.0,0.045527075098814325,2000.0,0.5,-1.0,0.05197233201581026,2000.0,0.6,1983.0,50.0
3,good,№817Sportivnaia,Т-1,TDTN-25000/110,3.0,1979.0,60.0,21.0,43556.0,0.02,139.0,0.001,0.0002,0.0089,0.0001,0.00029,0.23,0.034,1979.0,19.0,3000.0,3000.0,0.2,2500.0,0.2,2000.0,0.2,2600.0,0.1,2000.0,0.2,1979.0,59.2
4,satisfactory,№86Roshal,Т-2,TDTG-20000/110,3.0,1954.0,60.0,10.0,0.45,0.05,145.0,0.001,0.001,0.0037,0.0016,1e-05,0.61,0.029,1954.0,22.0,4500.0,5000.0,0.55,2500.0,0.4,3000.0,0.82,2600.0,0.4,1500.0,0.79,1954.0,60.0
5,good,№155Radovitcy,Т-2,TDTNG-10000/110,3.0,1957.0,60.0,17.0,0.25,0.02,145.0,0.001,0.0002,0.0005,0.0002,1e-05,0.12,0.008,1957.0,21.0,3000.0,3000.0,0.2,5000.0,0.2,2500.0,0.3,5000.0,0.2,2500.0,0.3,1957.0,60.0
6,satisfactory,B.Ignatovo,Т-1,TDTN-10000/110-76U1,3.0,1980.0,41.3,30.0,2.213,0.01,152.0,0.0,0.000499,1.9e-05,0.0,0.000165,0.07036,0.00247,1980.0,30.0,-1.0,3700.0,0.31,-1.0,0.045527075098814325,3358.0,0.39,-1.0,0.05197233201581026,2610.0,0.38,1980.0,43.1
7,satisfactory,B.Ignatovo,Т-2,TDTN-10000/110-U1,3.0,1991.0,73.8,30.0,43525.0,0.0087,141.0,0.000424,0.000136,0.0,0.0017399999999999998,0.000469,0.042010000000000006,0.0052,1991.0,32.0,-1.0,1500.0,0.23,-1.0,0.045527075098814325,1700.0,0.21,-1.0,0.05197233201581026,1300.0,0.26,1991.0,74.0
8,satisfactory,Ichalki,Т-1,TDTNG-10000/110,3.0,1965.0,68.8,30.0,43800.0,0.040999999999999995,146.0,0.0,0.000973,0.00041600000000000003,0.000105,0.0,0.12067,0.0034460000000000003,1965.0,20.0,-1.0,1500.0,0.813,-1.0,0.045527075098814325,1500.0,0.505,-1.0,0.05197233201581026,1000.0,0.44,1965.0,62.5
9,satisfactory,Ichalki,Т-2,TDTN-10000/110-76U1,3.0,1977.0,70.6,30.0,43525.0,0.01,147.0,0.0,0.000367,0.000713,3.5e-05,0.0,0.099476,0.000904,1977.0,25.0,-1.0,900.0,0.41,-1.0,0.045527075098814325,2660.0,0.39,-1.0,0.05197233201581026,3100.0,0.46,1977.0,44.6
10,satisfactory,Romodanovo,Т-1,TDTN-10000/110-76U1,3.0,1976.0,69.8,30.0,4.125,0.035,144.0,0.0,0.000954,5.5e-05,1.4999999999999999e-05,8.6e-05,0.13255,0.014075999999999997,1976.0,8.0,-1.0,670.0,0.39,-1.0,0.045527075098814325,620.0,0.49,-1.0,0.05197233201581026,550.0,0.47,1976.0,73.1
